state,id,time,imports,exports,total_trade_activity,trade_balance
Maine,ME,2022,8.2,3.5,11.7,-4.7
Maryland,MD,2022,47.5,17.8,65.3,-29.7
Massachusetts,MA,2022,49.2,32.7,81.9,-16.5
Michigan,MI,2022,152.4,62.7,215.1,-89.7
Minnesota,MN,2022,42.4,27.1,69.5,-15.3
Mississippi,MS,2022,21.7,15.9,37.6,-5.8
Missouri,MO,2022,27.8,16.6,44.4,-11.2
Montana,MT,2022,8.4,2,10.4,-6.4
Nebraska,NE,2022,5.7,8.9,14.6,3.2
Nevada,NV,2022,19,10.1,29.1,-8.9
New Hampshire,NH,2022,9.6,7.3,16.9,-2.3
New Jersey,NJ,2022,162.9,46.2,209.1,-116.7
New Mexico,NM,2022,6.1,4.8,10.9,-1.3
New York,NY,2022,182,109.2,291.2,-72.8
North Carolina,NC,2022,71.8,40.2,112,-31.6
North Dakota,ND,2022,4.6,5.2,9.8,0.6
Ohio,OH,2022,83.4,56.8,140.2,-26.6
Oklahoma,OK,2022,18.8,6.8,25.6,-12
Oregon,OR,2022,28.9,34.3,63.2,5.4
Pennsylvania,PA,2022,110.6,49.8,160.4,-60.8
Puerto Rico,PR,2022,26.9,20.6,47.5,-6.3
Rhode Island,RI,2022,10.3,2.9,13.2,-7.4
South Carolina,SC,2022,55.4,31.5,86.9,-23.9
South Dakota,SD,2022,1.9,2.4,4.3,0.5
Tennessee,TN,2022,109.4,38.4,147.8,-71
Texas,TX,2022,382.8,491.1,873.9,108.3
Utah,UT,2022,19.1,16.6,35.7,-2.5
Vermont,VT,2022,4.3,2.5,6.8,-1.8
Virginia,VA,2022,39.6,24.8,64.4,-14.8
US Virgin Islands,VI,2022,0.8,2.1,2.9,1.3
Washington,WA,2022,74.6,61.2,135.8,-13.4
West Virginia,WV,2022,4.1,7.8,11.9,3.7
Wisconsin,WI,2022,40.9,27.4,68.3,-13.5
Wyoming,WY,2022,1.6,1.9,3.5,0.3
Alabama,AL,2023,37.2,27.8,65,-9.4
Alaska,AK,2023,3.2,5.3,8.5,2.1
Arizona,AZ,2023,35.3,28.8,64.1,-6.5
Arkansas,AR,2023,6.8,6.3,13.1,-0.5
California,CA,2023,450.2,179,629.2,-271.2
Colorado,CO,2023,17.7,10.4,28.1,-7.3
Connecticut,CT,2023,22,16,38,-6
Delaware,DE,2023,10.6,4.9,15.5,-5.7
Dist of Columbia,DC,2023,1.6,1.7,3.3,0.1
Florida,FL,2023,112.5,68.9,181.4,-43.6
Georgia,GA,2023,136.9,49.9,186.8,-87
Hawaii,HI,2023,2.7,0.6,3.3,-2.1
Idaho,ID,2023,6.1,4,10.1,-2.1
Illinois,IL,2023,224.6,78.8,303.4,-145.8
Indiana,IN,2023,91.3,54.2,145.5,-37.1
Iowa,IA,2023,13.3,18.4,31.7,5.1
Kansas,KS,2023,13,14.1,27.1,1.1
Kentucky,KY,2023,72.3,40.2,112.5,-32.1
Louisiana,LA,2023,31.7,99.1,130.8,67.4
Maine,ME,2023,7.3,3,10.3,-4.3
Maryland,MD,2023,46.2,18.4,64.6,-27.8
Massachusetts,MA,2023,43,35.3,78.3,-7.7
Michigan,MI,2023,170.8,65.1,235.9,-105.7
Minnesota,MN,2023,37.2,24.8,62,-12.4
Mississippi,MS,2023,19.9,14.2,34.1,-5.7
Missouri,MO,2023,26.8,17.8,44.6,-9
Montana,MT,2023,7.4,2.2,9.6,-5.2
Nebraska,NE,2023,5.9,8,13.9,2.1
Nevada,NV,2023,19,9.5,28.5,-9.5
New Hampshire,NH,2023,9.6,7.6,17.2,-2
New Jersey,NJ,2023,144.5,43.2,187.7,-101.3
New Mexico,NM,2023,5.9,4.9,10.8,-1
New York,NY,2023,157.2,100,257.2,-57.2
North Carolina,NC,2023,80,42.2,122.2,-37.8
North Dakota,ND,2023,4.7,8.8,13.5,4.1
Ohio,OH,2023,79.6,56.1,135.7,-23.5
Oklahoma,OK,2023,17.7,6.5,24.2,-11.2
Oregon,OR,2023,19.4,27.7,47.1,8.3
Pennsylvania,PA,2023,112.9,52.9,165.8,-60
