commodity,state,time,country,total_exports_value
336 Transportation Equipment,Arizona,2016,World Total,"4,771,485,535"
336 Transportation Equipment,Alaska,2016,World Total,"40,277,839"
336 Transportation Equipment,Alabama,2016,World Total,"10,694,717,586"
336 Transportation Equipment,Arkansas,2016,World Total,"1,455,083,817"
336 Transportation Equipment,California,2016,World Total,"18,659,910,423"
336 Transportation Equipment,Colorado,2016,World Total,"362,206,324"
336 Transportation Equipment,Connecticut,2016,World Total,"6,216,315,241"
336 Transportation Equipment,Dist of Columbia,2016,World Total,"704,610,900"
336 Transportation Equipment,Delaware,2016,World Total,"1,152,509,751"
336 Transportation Equipment,Florida,2016,World Total,"8,376,992,248"
336 Transportation Equipment,Georgia,2016,World Total,"9,572,756,982"
336 Transportation Equipment,Hawaii,2016,World Total,"267,763,435"
336 Transportation Equipment,Iowa,2016,World Total,"817,334,729"
336 Transportation Equipment,Idaho,2016,World Total,"546,983,653"
336 Transportation Equipment,Illinois,2016,World Total,"7,162,240,653"
336 Transportation Equipment,Indiana,2016,World Total,"10,672,683,572"
336 Transportation Equipment,Kansas,2016,World Total,"2,413,289,280"
336 Transportation Equipment,Kentucky,2016,World Total,"16,307,261,252"
336 Transportation Equipment,Louisiana,2016,World Total,"791,261,626"
336 Transportation Equipment,Massachusetts,2016,World Total,"1,064,362,144"
336 Transportation Equipment,Maryland,2016,World Total,"1,933,641,549"
336 Transportation Equipment,Maine,2016,World Total,"379,967,418"
336 Transportation Equipment,Michigan,2016,World Total,"26,523,811,920"
336 Transportation Equipment,Minnesota,2016,World Total,"2,120,205,116"
336 Transportation Equipment,Missouri,2016,World Total,"4,142,458,224"
336 Transportation Equipment,Mississippi,2016,World Total,"1,511,735,434"
336 Transportation Equipment,Montana,2016,World Total,"127,583,157"
336 Transportation Equipment,North Carolina,2016,World Total,"4,364,359,812"
336 Transportation Equipment,North Dakota,2016,World Total,"101,381,131"
336 Transportation Equipment,Nebraska,2016,World Total,"266,270,684"
336 Transportation Equipment,New Hampshire,2016,World Total,"344,592,142"
336 Transportation Equipment,New Jersey,2016,World Total,"2,678,167,727"
336 Transportation Equipment,New Mexico,2016,World Total,"195,703,003"
336 Transportation Equipment,Nevada,2016,World Total,"210,409,057"
336 Transportation Equipment,New York,2016,World Total,"3,614,676,241"
336 Transportation Equipment,Ohio,2016,World Total,"14,967,416,062"
336 Transportation Equipment,Oklahoma,2016,World Total,"745,063,693"
336 Transportation Equipment,Oregon,2016,World Total,"1,888,344,636"
336 Transportation Equipment,Pennsylvania,2016,World Total,"3,796,306,511"
336 Transportation Equipment,Puerto Rico,2016,World Total,"75,750,748"
336 Transportation Equipment,Rhode Island,2016,World Total,"96,228,276"
336 Transportation Equipment,South Carolina,2016,World Total,"17,134,752,138"
336 Transportation Equipment,South Dakota,2016,World Total,"88,596,683"
336 Transportation Equipment,Tennessee,2016,World Total,"7,248,855,536"
336 Transportation Equipment,Texas,2016,World Total,"23,479,273,784"
336 Transportation Equipment,Utah,2016,World Total,"865,386,027"
336 Transportation Equipment,Virginia,2016,World Total,"1,695,688,033"
336 Transportation Equipment,US Virgin Islands,2016,World Total,"2,287,098"
336 Transportation Equipment,Vermont,2016,World Total,"83,957,336"
336 Transportation Equipment,Washington,2016,World Total,"47,891,864,280"
336 Transportation Equipment,Wisconsin,2016,World Total,"2,335,309,859"
336 Transportation Equipment,West Virginia,2016,World Total,"564,034,363"
337 Furniture & Fixtures,Arizona,2016,World Total,"53,725,275"
336 Transportation Equipment,Wyoming,2016,World Total,"11,413,089"
337 Furniture & Fixtures,Alaska,2016,World Total,"47,367"
337 Furniture & Fixtures,Alabama,2016,World Total,"27,234,198"
337 Furniture & Fixtures,Arkansas,2016,World Total,"16,591,775"
337 Furniture & Fixtures,California,2016,World Total,"608,823,029"
