commodity,state,time,country,total_import_values
114 Fish, Fresh/chilled/frozen & Other Marine Products,Maryland,2016,World Total,"168,819,439"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Maine,2016,World Total,"208,921,410"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Michigan,2016,World Total,"38,739,719"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Minnesota,2016,World Total,"31,550,040"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Missouri,2016,World Total,"53,967,780"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Mississippi,2016,World Total,"334,421"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Montana,2016,World Total,"389,028"
114 Fish, Fresh/chilled/frozen & Other Marine Products,North Carolina,2016,World Total,"83,305,336"
114 Fish, Fresh/chilled/frozen & Other Marine Products,North Dakota,2016,World Total,"2,782,687"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Nebraska,2016,World Total,"1,076,181"
114 Fish, Fresh/chilled/frozen & Other Marine Products,New Hampshire,2016,World Total,"124,029,620"
114 Fish, Fresh/chilled/frozen & Other Marine Products,New Jersey,2016,World Total,"1,171,752,486"
114 Fish, Fresh/chilled/frozen & Other Marine Products,New Mexico,2016,World Total,"633,576"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Nevada,2016,World Total,"10,185,925"
114 Fish, Fresh/chilled/frozen & Other Marine Products,New York,2016,World Total,"1,010,213,407"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Ohio,2016,World Total,"22,767,439"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Oklahoma,2016,World Total,"199,024"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Oregon,2016,World Total,"68,176,531"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Pennsylvania,2016,World Total,"96,259,966"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Puerto Rico,2016,World Total,"43,690,232"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Rhode Island,2016,World Total,"103,887,012"
114 Fish, Fresh/chilled/frozen & Other Marine Products,South Carolina,2016,World Total,"37,260,906"
114 Fish, Fresh/chilled/frozen & Other Marine Products,South Dakota,2016,World Total,"2,304"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Tennessee,2016,World Total,"13,024,358"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Texas,2016,World Total,"520,667,076"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Utah,2016,World Total,"11,330,664"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Virginia,2016,World Total,"405,298,419"
114 Fish, Fresh/chilled/frozen & Other Marine Products,US Virgin Islands,2016,World Total,"63,680"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Vermont,2016,World Total,"37,878,622"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Washington,2016,World Total,"984,625,773"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Wisconsin,2016,World Total,"21,245,775"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Wyoming,2016,World Total,"53,715"
211 Oil & Gas,Alaska,2016,World Total,"70,738,080"
211 Oil & Gas,Alabama,2016,World Total,"1,896,176,423"
211 Oil & Gas,Arkansas,2016,World Total,"3,150,965"
211 Oil & Gas,Arizona,2016,World Total,"25,322,411"
