State,Country,Time,Exports
Arizona,Guatemala,2016,"8,666,007"
Arizona,Belize,2016,"462,323"
Arizona,El Salvador,2016,"4,062,228"
Arizona,Honduras,2016,"12,212,645"
Arizona,Nicaragua,2016,"2,473,366"
Arizona,Costa Rica,2016,"41,750,539"
Arizona,Panama,2016,"12,391,698"
Arizona,Bermuda,2016,"259,333"
Arizona,Bahamas,2016,"943,385"
Arizona,Cuba,2016,"6,830"
Arizona,Jamaica,2016,"687,040"
Arizona,Turks And Caicos Islands,2016,"468,962"
Arizona,Cayman Islands,2016,"498,854"
Arizona,Haiti,2016,"142,354"
Arizona,Dominican Republic,2016,"55,824,779"
Arizona,Anguilla,2016,"9,386"
Arizona,British Virgin Islands,2016,"221,742"
Arizona,St Kitts And Nevis,2016,"2,843"
Arizona,Antigua And Barbuda,2016,"146,562"
Arizona,Montserrat,2016,"9,407"
Arizona,Dominica,2016,"36,203"
Arizona,St Lucia,2016,"17,918"
Arizona,St Vincent And The Grenadines,2016,"22,770"
Arizona,Grenada,2016,"104,205"
Arizona,Barbados,2016,"937,193"
Arizona,Trinidad And Tobago,2016,"1,888,206"
Arizona,Sint Maarten,2016,"231,938"
Arizona,Curacao,2016,"184,642"
Arizona,Aruba,2016,"170,256"
Arizona,Guadeloupe,2016,"41,920"
Arizona,Martinique,2016,"65,024"
Arizona,Colombia,2016,"27,648,688"
Arizona,Venezuela,2016,"955,948"
Arizona,Guyana,2016,"283,772"
Arizona,Suriname,2016,"550,800"
Arizona,French Guiana,2016,"19,280"
Arizona,Ecuador,2016,"5,931,873"
Arizona,Peru,2016,"34,530,650"
Arizona,Bolivia,2016,"2,139,744"
Arizona,Chile,2016,"43,422,464"
Arizona,Brazil,2016,"439,978,971"
Arizona,Paraguay,2016,"357,010"
Arizona,Uruguay,2016,"838,523"
Arizona,Argentina,2016,"32,908,620"
Arizona,Iceland,2016,"10,832,443"
Arizona,Sweden,2016,"35,385,854"
Arizona,Svalbard, Jan Mayen Island,2016,"35,937"
Arizona,Norway,2016,"42,690,451"
Arizona,Finland,2016,"10,305,899"
Arizona,Faroe Islands,2016,"226,006"
Arizona,Denmark,2016,"33,029,698"
Arizona,United Kingdom,2016,"857,748,010"
Arizona,Ireland,2016,"244,064,538"
Arizona,Netherlands,2016,"419,181,827"
Arizona,Belgium,2016,"224,406,975"
Arizona,Luxembourg,2016,"7,134,131"
Arizona,Monaco,2016,"131,301"
Arizona,France,2016,"471,277,179"
Arizona,Germany,2016,"726,487,880"
Arizona,Austria,2016,"26,281,157"
Arizona,Czech Republic,2016,"77,664,524"
Arizona,Slovakia,2016,"1,825,835"
Arizona,Hungary,2016,"7,997,882"
Arizona,Liechtenstein,2016,"8,174"
Arizona,Switzerland,2016,"221,378,585"
Arizona,Estonia,2016,"7,206,549"
Arizona,Latvia,2016,"2,312,471"
Arizona,Lithuania,2016,"9,356,721"
Arizona,Poland,2016,"26,268,528"
Arizona,Russia,2016,"35,879,317"
Arizona,Belarus,2016,"39,400"
Arizona,Ukraine,2016,"27,481,008"
Arizona,Armenia,2016,"3,208,971"
Arizona,Azerbaijan,2016,"5,573,581"
Arizona,Georgia,2016,"2,360,720"
Arizona,Kazakhstan,2016,"1,867,549"
Arizona,Kyrgyzstan,2016,"352,656"
Arizona,Moldova,2016,"33,781"
Arizona,Tajikistan,2016,"17,043"
Arizona,Turkmenistan,2016,"67,700"
Arizona,Uzbekistan,2016,"18,521"
Arizona,Spain,2016,"93,062,289"
Arizona,Portugal,2016,"4,090,433"
Arizona,Malta,2016,"501,430"
Arizona,Italy,2016,"156,844,331"
Arizona,Croatia,2016,"2,474,054"
Arizona,Slovenia,2016,"341,224"
Arizona,Bosnia And Herzegovina,2016,"68,422"
Arizona,Macedonia,2016,"110,290"
Arizona,Serbia,2016,"1,103,353"
Arizona,Kosovo,2016,"36,833"
Arizona,Montenegro,2016,"13,194"
Arizona,Albania,2016,"130,645"
Arizona,Greece,2016,"3,053,376"
Arizona,Romania,2016,"29,897,264"
Arizona,Bulgaria,2016,"2,313,286"
Arizona,Turkey,2016,"54,221,666"
Arizona,Cyprus,2016,"291,114"
Arizona,Syria,2016,"6,994"
Arizona,Lebanon,2016,"1,182,216"
Arizona,Iraq,2016,"1,857,351"
Arizona,Iran,2016,"128,502"
Arizona,Israel,2016,"220,676,604"
Arizona,Jordan,2016,"3,754,612"
Arizona,Kuwait,2016,"14,700,281"
Arizona,Saudi Arabia,2016,"250,111,157"
Arizona,Qatar,2016,"22,674,963"
Arizona,United Arab Emirates,2016,"284,002,467"
Arizona,Oman,2016,"3,040,162"
Arizona,Bahrain,2016,"1,527,374"
Arizona,Afghanistan,2016,"48,093,061"
Arizona,India,2016,"114,404,261"
Arizona,Pakistan,2016,"14,677,100"
Arizona,Nepal,2016,"458,852"
Arizona,Bangladesh,2016,"16,980,779"
Arizona,Sri Lanka,2016,"2,476,925"
Arizona,Burma,2016,"285,168"
Arizona,Thailand,2016,"493,677,799"
Arizona,Vietnam,2016,"51,899,570"
Arizona,Laos,2016,"132,769"
Arizona,Cambodia,2016,"550,849"
Arizona,Malaysia,2016,"407,464,546"
Arizona,Singapore,2016,"525,566,474"
Arizona,Indonesia,2016,"46,837,824"
Arizona,Brunei,2016,"184,422"
Arizona,Philippines,2016,"76,767,878"
Arizona,Macau,2016,"2,670,336"
Arizona,Bhutan,2016,"7,043"
Arizona,Maldives,2016,"107,660"
Arizona,China,2016,"1,210,330,568"
Arizona,Mongolia,2016,"2,310,635"
Arizona,Korea, South,2016,"1,306,214,102"
Arizona,Hong Kong,2016,"386,910,630"
Arizona,Taiwan,2016,"396,592,301"
Arizona,Japan,2016,"635,766,643"
Arizona,Australia,2016,"240,889,698"
Arizona,Papua New Guinea,2016,"447,047"
Arizona,New Zealand,2016,"43,690,693"
Arizona,Cook Islands,2016,"3,562"
Arizona,Samoa,2016,"129,000"
Arizona,New Caledonia,2016,"369,772"
Arizona,French Polynesia,2016,"536,751"
Arizona,Marshall Islands,2016,"92,289"
Arizona,Palau,2016,"7,649"
Arizona,Fiji,2016,"730,852"
Arizona,Tonga,2016,"23,342"
Arizona,Morocco,2016,"8,279,333"
Arizona,Algeria,2016,"2,155,543"
Arizona,Tunisia,2016,"618,092"
